,hex9,cnt
244,892a10014a7ffff,165
245,892a10014abffff,99
246,892a10014afffff,264
247,892a10014b7ffff,3
248,892a10014c3ffff,49
249,892a10014c7ffff,188
250,892a10014cbffff,149
251,892a10014cfffff,73
252,892a10014d3ffff,183
253,892a10014d7ffff,78
254,892a10014dbffff,1598
255,892a1001503ffff,51
256,892a1001507ffff,30
257,892a100150bffff,14
258,892a100150fffff,7
259,892a1001513ffff,76
260,892a100151bffff,35
261,892a1001523ffff,3
262,892a1001527ffff,10
263,892a1001533ffff,3
264,892a1001537ffff,2
265,892a100153bffff,19
266,892a1001543ffff,48
267,892a1001547ffff,61
268,892a100154bffff,100
269,892a100154fffff,52
270,892a1001553ffff,61
271,892a1001557ffff,87
272,892a100155bffff,58
273,892a1001563ffff,115
274,892a1001567ffff,16
275,892a100156bffff,113
276,892a100156fffff,23
277,892a1001573ffff,11
278,892a1001577ffff,3
279,892a100157bffff,40
280,892a10015c3ffff,12
281,892a10015c7ffff,49
282,892a10015cbffff,32
283,892a10015cfffff,54
284,892a10015d3ffff,1
285,892a10015dbffff,16
286,892a1001613ffff,34
287,892a100161bffff,37
288,892a1001627ffff,14
289,892a1001637ffff,556
290,892a1001667ffff,601
291,892a1001683ffff,137
292,892a1001687ffff,201
293,892a100168bffff,602
294,892a100168fffff,213
295,892a1001693ffff,434
296,892a1001697ffff,22
297,892a100169bffff,37
298,892a10016a3ffff,2056
299,892a10016a7ffff,817
300,892a10016afffff,1822
301,892a10016b3ffff,1054
302,892a10016b7ffff,514
303,892a10016c7ffff,34
304,892a1001807ffff,5
305,892a100180bffff,4
306,892a1001813ffff,39
307,892a1001843ffff,90
308,892a1001847ffff,255
309,892a100184bffff,307
310,892a100184fffff,177
311,892a1001853ffff,84
312,892a1001857ffff,14
313,892a100185bffff,228
314,892a1001863ffff,47
315,892a1001867ffff,4
316,892a100186bffff,8
317,892a100186fffff,22
318,892a1001873ffff,10
319,892a1001877ffff,20
320,892a100187bffff,38
321,892a100188bffff,1
322,892a1001893ffff,75
323,892a1001897ffff,8
324,892a100189bffff,2
325,892a10018a7ffff,35
326,892a10018b7ffff,13
327,892a10018c3ffff,17
328,892a10018cbffff,76
329,892a10018cfffff,54
330,892a10018dbffff,28
331,892a1001923ffff,1
332,892a1001927ffff,3
333,892a100192bffff,2
334,892a100192fffff,1
335,892a100193bffff,1
336,892a10019afffff,1
337,892a10019d3ffff,143
338,892a1001a07ffff,3
339,892a1001a0bffff,363
340,892a1001a13ffff,84
341,892a1001a17ffff,179
342,892a1001a1bffff,672
343,892a1001a33ffff,276
344,892a1001a43ffff,238
345,892a1001a47ffff,125
346,892a1001a4bffff,10
347,892a1001a4fffff,183
348,892a1001a53ffff,7844
349,892a1001a57ffff,544
350,892a1001a5bffff,31
351,892a1001a6bffff,1
352,892a1001a6fffff,1
353,892a1001a83ffff,350
354,892a1001a87ffff,279
355,892a1001a8bffff,27
356,892a1001a8fffff,189
357,892a1001a93ffff,229
358,892a1001a97ffff,3
359,892a1001a9bffff,28
360,892a1001aa3ffff,110
361,892a1001aa7ffff,127
362,892a1001aabffff,421
363,892a1001aafffff,203
364,892a1001ab3ffff,32
365,892a1001ab7ffff,23
366,892a1001abbffff,140
367,892a1001ac3ffff,1058
368,892a1001ac7ffff,102
369,892a1001acbffff,1219
370,892a1001acfffff,310
371,892a1001ad3ffff,471
372,892a1001ad7ffff,134
373,892a1001adbffff,1306
374,892a1001b27ffff,36
375,892a1001b2fffff,5
376,892a1001b33ffff,4
377,892a1001b37ffff,3
