,hex9,cnt
246,892a10013abffff,257
247,892a10013afffff,196
248,892a10013b3ffff,119
249,892a10013b7ffff,216
250,892a10013bbffff,67
251,892a10013c7ffff,13
252,892a10013d3ffff,35
253,892a10013d7ffff,111
254,892a1001403ffff,136
255,892a1001407ffff,157
256,892a100140bffff,86
257,892a100140fffff,128
258,892a1001413ffff,181
259,892a1001417ffff,131
260,892a100141bffff,279
261,892a1001423ffff,30
262,892a1001427ffff,110
263,892a100142bffff,3
264,892a100142fffff,14
265,892a1001433ffff,27
266,892a1001437ffff,53
267,892a100143bffff,222
268,892a1001443ffff,70
269,892a1001447ffff,123
270,892a100144bffff,18
271,892a100144fffff,10
272,892a1001453ffff,129
273,892a1001457ffff,127
274,892a100145bffff,326
275,892a1001463ffff,9
276,892a1001467ffff,5
277,892a100146bffff,8
278,892a100146fffff,1
279,892a1001473ffff,76
280,892a1001477ffff,20
281,892a100147bffff,23
282,892a100148bffff,14
283,892a10014a3ffff,57
284,892a10014a7ffff,57
285,892a10014abffff,161
286,892a10014afffff,64
287,892a10014b7ffff,5
288,892a10014bbffff,3
289,892a10014c3ffff,64
290,892a10014c7ffff,128
291,892a10014cbffff,4
292,892a10014cfffff,159
293,892a10014d3ffff,40
294,892a10014d7ffff,33
295,892a10014dbffff,99
296,892a1001503ffff,75
297,892a1001507ffff,97
298,892a100150bffff,203
299,892a100150fffff,3
300,892a1001513ffff,127
301,892a100151bffff,25
302,892a1001523ffff,4
303,892a1001527ffff,40
304,892a100152bffff,125
305,892a1001537ffff,13
306,892a100153bffff,340
307,892a1001543ffff,158
308,892a1001547ffff,110
309,892a100154bffff,129
310,892a100154fffff,176
311,892a1001553ffff,140
312,892a1001557ffff,218
313,892a100155bffff,201
314,892a1001563ffff,177
315,892a1001567ffff,164
316,892a100156bffff,148
317,892a100156fffff,239
318,892a1001573ffff,32
319,892a1001577ffff,338
320,892a100157bffff,114
321,892a100158bffff,107
322,892a100159bffff,1
323,892a10015c3ffff,187
324,892a10015c7ffff,159
325,892a10015cbffff,115
326,892a10015cfffff,252
327,892a10015d3ffff,199
328,892a10015d7ffff,193
329,892a10015dbffff,126
330,892a1001613ffff,1
331,892a100161bffff,10
332,892a1001627ffff,9
333,892a1001633ffff,2
334,892a1001637ffff,36
335,892a1001667ffff,10
336,892a1001677ffff,51
337,892a1001683ffff,10
338,892a1001687ffff,3
339,892a100168bffff,10
340,892a100168fffff,2
341,892a1001693ffff,121
342,892a1001697ffff,6
343,892a100169bffff,15
344,892a10016a3ffff,30
345,892a10016a7ffff,7
346,892a10016abffff,2
347,892a10016afffff,14
348,892a10016b3ffff,15
349,892a10016b7ffff,35
350,892a10016c7ffff,38
351,892a10016cfffff,3
352,892a10016d7ffff,3
353,892a1001803ffff,92
354,892a1001807ffff,76
355,892a100180bffff,95
356,892a100180fffff,66
357,892a1001813ffff,57
358,892a1001817ffff,52
359,892a100181bffff,71
360,892a1001843ffff,254
361,892a1001847ffff,223
362,892a100184bffff,236
363,892a100184fffff,155
364,892a1001853ffff,285
365,892a1001857ffff,291
366,892a100185bffff,281
367,892a1001863ffff,210
368,892a1001867ffff,175
369,892a100186bffff,35
370,892a1001873ffff,125
371,892a1001877ffff,147
372,892a100187bffff,221
373,892a1001887ffff,73
374,892a1001893ffff,289
375,892a1001897ffff,56
376,892a100189bffff,37
377,892a10018a7ffff,65
378,892a10018b3ffff,45
379,892a10018b7ffff,64
380,892a10018c3ffff,126
381,892a10018c7ffff,113
382,892a10018cbffff,76
383,892a10018cfffff,245
384,892a10018d7ffff,4
385,892a10018dbffff,85
386,892a1001907ffff,9
387,892a1001923ffff,94
388,892a1001927ffff,87
389,892a100192bffff,36
390,892a100192fffff,25
391,892a1001933ffff,101
392,892a1001937ffff,88
393,892a100193bffff,32
394,892a1001977ffff,10
395,892a10019a7ffff,32
396,892a10019abffff,32
397,892a10019afffff,65
398,892a10019d3ffff,248
399,892a1001a03ffff,113
400,892a1001a07ffff,10
401,892a1001a0bffff,142
402,892a1001a13ffff,158
403,892a1001a17ffff,262
404,892a1001a1bffff,234
405,892a1001a33ffff,88
406,892a1001a37ffff,34
407,892a1001a43ffff,175
408,892a1001a47ffff,187
409,892a1001a4bffff,170
410,892a1001a4fffff,177
411,892a1001a53ffff,62
412,892a1001a57ffff,193
413,892a1001a5bffff,84
414,892a1001a6bffff,260
415,892a1001a6fffff,136
416,892a1001a7bffff,71
417,892a1001a83ffff,226
418,892a1001a87ffff,299
419,892a1001a8bffff,236
420,892a1001a8fffff,105
421,892a1001a93ffff,327
422,892a1001a97ffff,62
423,892a1001a9bffff,275
424,892a1001aa3ffff,227
425,892a1001aa7ffff,283
426,892a1001aabffff,175
427,892a1001aafffff,235
428,892a1001ab3ffff,115
429,892a1001ab7ffff,322
430,892a1001abbffff,228
431,892a1001ac3ffff,192
432,892a1001ac7ffff,25
433,892a1001acbffff,225
434,892a1001acfffff,169
435,892a1001ad3ffff,347
436,892a1001ad7ffff,222
437,892a1001adbffff,303
438,892a1001b27ffff,105
439,892a1001b37ffff,48
440,892a1001b8bffff,147
441,892a1001b9bffff,23
442,892a1001bc3ffff,228
443,892a1001bc7ffff,155
444,892a1001bcfffff,26
445,892a1001bd3ffff,197
446,892a1001bd7ffff,190
447,892a1001bdbffff,66
448,892a1001c03ffff,238
449,892a1001c07ffff,148
450,892a1001c0bffff,139
451,892a1001c0fffff,130
452,892a1001c13ffff,232
453,892a1001c17ffff,163
454,892a1001c1bffff,149
455,892a1001c23ffff,173
456,892a1001c27ffff,130
457,892a1001c2bffff,110
458,892a1001c2fffff,202
459,892a1001c33ffff,147
460,892a1001c37ffff,143
461,892a1001c3bffff,187
462,892a1001c43ffff,115
463,892a1001c47ffff,136
464,892a1001c4bffff,78
465,892a1001c4fffff,79
466,892a1001c53ffff,307
467,892a1001c57ffff,185
468,892a1001c5bffff,93
469,892a1001c63ffff,79
470,892a1001c67ffff,122
471,892a1001c6bffff,29
472,892a1001c6fffff,22
473,892a1001c73ffff,111
474,892a1001c77ffff,20
475,892a1001c7bffff,114
476,892a1001c83ffff,114
477,892a1001c87ffff,12
478,892a1001c8bffff,295
479,892a1001c8fffff,176
480,892a1001c93ffff,77
481,892a1001c97ffff,18
482,892a1001c9bffff,249
483,892a1001ca3ffff,39
484,892a1001cabffff,224
485,892a1001cafffff,212
486,892a1001cbbffff,174
487,892a1001cc3ffff,227
488,892a1001cc7ffff,233
489,892a1001ccbffff,326
490,892a1001ccfffff,244
491,892a1001cd3ffff,61
492,892a1001cd7ffff,123
493,892a1001cdbffff,148
494,892a1001d03ffff,107
495,892a1001d07ffff,166
496,892a1001d0bffff,56
497,892a1001d0fffff,165
498,892a1001d13ffff,9
499,892a1001d17ffff,50
500,892a1001d23ffff,58
501,892a1001d27ffff,113
502,892a1001d2bffff,18
503,892a1001d33ffff,91
504,892a1001d37ffff,137
505,892a1001d3bffff,218
506,892a1001d43ffff,66
507,892a1001d47ffff,84
508,892a1001d4bffff,103
