,hex9,cnt
243,892a10013abffff,2522
244,892a10013afffff,362
245,892a10013b3ffff,183
246,892a10013b7ffff,201
247,892a10013bbffff,2885
248,892a10013c7ffff,191
249,892a10013cfffff,2
250,892a10013d3ffff,547
251,892a10013d7ffff,613
252,892a1001403ffff,138
253,892a1001407ffff,224
254,892a100140bffff,215
255,892a100140fffff,365
256,892a1001413ffff,75
257,892a1001417ffff,190
258,892a100141bffff,421
259,892a1001423ffff,132
260,892a1001427ffff,125
261,892a100142bffff,2309
262,892a100142fffff,1317
263,892a1001433ffff,142
264,892a1001437ffff,51
265,892a100143bffff,187
266,892a1001443ffff,461
267,892a1001447ffff,153
268,892a100144bffff,833
269,892a100144fffff,896
270,892a1001453ffff,415
271,892a1001457ffff,359
272,892a100145bffff,476
273,892a1001463ffff,195
274,892a1001467ffff,437
275,892a100146bffff,1295
276,892a100146fffff,383
277,892a1001473ffff,127
278,892a1001477ffff,194
279,892a100147bffff,674
280,892a100148bffff,3
281,892a10014a3ffff,129
282,892a10014a7ffff,83
283,892a10014abffff,125
284,892a10014afffff,302
285,892a10014bbffff,2
286,892a10014c3ffff,319
287,892a10014c7ffff,135
288,892a10014cbffff,78
289,892a10014cfffff,178
290,892a10014d3ffff,112
291,892a10014d7ffff,185
292,892a10014dbffff,913
293,892a1001503ffff,31
294,892a1001507ffff,60
295,892a100150bffff,33
296,892a100150fffff,161
297,892a1001513ffff,51
298,892a100151bffff,33
299,892a1001527ffff,100
300,892a1001533ffff,9
301,892a1001537ffff,6
302,892a100153bffff,92
303,892a1001543ffff,133
304,892a1001547ffff,64
305,892a100154bffff,147
306,892a100154fffff,228
307,892a1001553ffff,95
308,892a1001557ffff,124
309,892a100155bffff,151
310,892a1001563ffff,251
311,892a1001567ffff,51
312,892a100156bffff,183
313,892a100156fffff,132
314,892a1001573ffff,20
315,892a1001577ffff,9
316,892a100157bffff,73
317,892a10015c3ffff,15
318,892a10015c7ffff,43
319,892a10015cbffff,335
320,892a10015cfffff,220
321,892a10015d3ffff,6
322,892a10015d7ffff,1
323,892a10015dbffff,69
324,892a1001613ffff,63
325,892a100161bffff,59
326,892a1001627ffff,253
327,892a1001637ffff,470
328,892a100165bffff,1
329,892a1001667ffff,928
330,892a1001673ffff,1
331,892a1001683ffff,163
332,892a1001687ffff,76
333,892a100168bffff,210
334,892a100168fffff,76
335,892a1001693ffff,149
336,892a1001697ffff,66
337,892a100169bffff,142
338,892a10016a3ffff,2088
339,892a10016a7ffff,563
340,892a10016abffff,1
341,892a10016afffff,1246
342,892a10016b3ffff,10400
343,892a10016b7ffff,664
344,892a10016c7ffff,61
345,892a10016d7ffff,2
346,892a1001803ffff,1
347,892a1001807ffff,17
348,892a100180bffff,614
349,892a100180fffff,18
350,892a1001813ffff,14
351,892a1001817ffff,9
352,892a100181bffff,1
353,892a1001843ffff,225
354,892a1001847ffff,1085
355,892a100184bffff,164
356,892a100184fffff,335
357,892a1001853ffff,384
358,892a1001857ffff,96
359,892a100185bffff,452
360,892a1001863ffff,218
361,892a1001867ffff,57
362,892a100186bffff,16
363,892a100186fffff,51
364,892a1001873ffff,327
365,892a1001877ffff,170
366,892a100187bffff,244
367,892a1001883ffff,1
368,892a1001887ffff,11
369,892a1001893ffff,110
370,892a1001897ffff,64
371,892a100189bffff,26
372,892a10018a7ffff,386
373,892a10018b3ffff,111
374,892a10018b7ffff,167
375,892a10018c3ffff,11
376,892a10018cbffff,550
377,892a10018cfffff,59
378,892a10018d7ffff,8
379,892a10018dbffff,50
380,892a1001907ffff,5
381,892a1001923ffff,26
382,892a1001927ffff,38
383,892a100192bffff,15
384,892a100192fffff,6
385,892a1001933ffff,13
386,892a1001937ffff,35
387,892a100193bffff,14
388,892a1001967ffff,2
389,892a1001977ffff,1
390,892a10019a7ffff,4
391,892a10019abffff,52
392,892a10019afffff,15
393,892a10019d3ffff,1213
394,892a1001a03ffff,113
395,892a1001a07ffff,349
396,892a1001a0bffff,130
397,892a1001a13ffff,330
398,892a1001a17ffff,905
399,892a1001a1bffff,142
400,892a1001a33ffff,594
401,892a1001a37ffff,44
402,892a1001a43ffff,76
403,892a1001a47ffff,52
404,892a1001a4bffff,20
405,892a1001a4fffff,74
406,892a1001a53ffff,1804
407,892a1001a57ffff,207
408,892a1001a5bffff,18
409,892a1001a6bffff,15
410,892a1001a6fffff,1
411,892a1001a77ffff,13
412,892a1001a7bffff,1
413,892a1001a83ffff,176
414,892a1001a87ffff,338
415,892a1001a8bffff,920
416,892a1001a8fffff,753
417,892a1001a93ffff,187
418,892a1001a9bffff,377
419,892a1001aa3ffff,268
420,892a1001aa7ffff,157
421,892a1001aabffff,742
422,892a1001aafffff,533
423,892a1001ab3ffff,62
424,892a1001ab7ffff,91
425,892a1001abbffff,804
426,892a1001ac3ffff,1354
427,892a1001ac7ffff,448
428,892a1001acbffff,1367
429,892a1001acfffff,449
430,892a1001ad3ffff,370
431,892a1001ad7ffff,476
432,892a1001adbffff,1788
433,892a1001b13ffff,14
434,892a1001b27ffff,187
435,892a1001b2fffff,227
436,892a1001b33ffff,18
437,892a1001b37ffff,176
438,892a1001b8bffff,86
439,892a1001b9bffff,15
440,892a1001bafffff,18
441,892a1001bc3ffff,135
442,892a1001bc7ffff,92
443,892a1001bcfffff,5
444,892a1001bd3ffff,129
445,892a1001bd7ffff,205
446,892a1001bdbffff,204
447,892a1001c03ffff,140
448,892a1001c07ffff,20
449,892a1001c0bffff,137
450,892a1001c0fffff,122
451,892a1001c13ffff,59
452,892a1001c17ffff,58
453,892a1001c1bffff,138
454,892a1001c23ffff,97
455,892a1001c27ffff,105
456,892a1001c2bffff,261
457,892a1001c2fffff,219
458,892a1001c33ffff,53
459,892a1001c37ffff,185
460,892a1001c3bffff,73
461,892a1001c43ffff,188
462,892a1001c47ffff,234
463,892a1001c4bffff,48
464,892a1001c4fffff,50
465,892a1001c53ffff,320
466,892a1001c57ffff,278
467,892a1001c5bffff,1
468,892a1001c67ffff,80
469,892a1001c73ffff,43
470,892a1001c77ffff,49
471,892a1001c7bffff,142
472,892a1001c83ffff,65
473,892a1001c87ffff,3
474,892a1001c8bffff,50
475,892a1001c8fffff,38
476,892a1001c93ffff,9
477,892a1001c97ffff,39
478,892a1001c9bffff,158
479,892a1001ca3ffff,16
480,892a1001cabffff,156
481,892a1001cafffff,151
482,892a1001cbbffff,28
483,892a1001cc3ffff,532
484,892a1001cc7ffff,126
485,892a1001ccbffff,242
486,892a1001ccfffff,334
487,892a1001cd3ffff,10
488,892a1001cd7ffff,51
489,892a1001cdbffff,404
490,892a1001d03ffff,83
491,892a1001d07ffff,66
492,892a1001d0bffff,39
493,892a1001d0fffff,247
494,892a1001d13ffff,16
495,892a1001d17ffff,327
496,892a1001d1bffff,17
497,892a1001d23ffff,23
498,892a1001d27ffff,5
499,892a1001d33ffff,15
500,892a1001d37ffff,4
501,892a1001d3bffff,52
502,892a1001d43ffff,575
503,892a1001d47ffff,134
504,892a1001d4bffff,193
505,892a1001d4fffff,542
506,892a1001d53ffff,237
507,892a1001d57ffff,198
508,892a1001d5bffff,210
509,892a1001d63ffff,122
510,892a1001d6bffff,367
511,892a1001d6fffff,29
512,892a1001d73ffff,132
513,892a1001d77ffff,55
514,892a1001d7bffff,286
515,892a1001da7ffff,1
516,892a1001dabffff,11
517,892a1001dafffff,11
518,892a1001dc3ffff,15
519,892a1001dcbffff,44
520,892a1001dcfffff,40
521,892a1001ddbffff,157
522,892a1001e03ffff,187
523,892a1001e07ffff,664
524,892a1001e0bffff,289
525,892a1001e0fffff,293
526,892a1001e13ffff,680
527,892a1001e17ffff,150
528,892a1001e1bffff,510
529,892a1001e23ffff,467
530,892a1001e27ffff,481
531,892a1001e2bffff,455
532,892a1001e2fffff,366
533,892a1001e33ffff,691
534,892a1001e37ffff,424
535,892a1001e3bffff,818
536,892a1001e43ffff,886
537,892a1001e47ffff,1390
538,892a1001e4bffff,570
