,hex9,cnt
246,892a100130bffff,51
247,892a100130fffff,16
248,892a1001313ffff,128
249,892a1001317ffff,164
250,892a1001323ffff,50
251,892a1001327ffff,160
252,892a1001333ffff,142
253,892a1001337ffff,124
254,892a100133bffff,2
255,892a1001343ffff,157
256,892a1001347ffff,165
257,892a100134bffff,194
258,892a100134fffff,240
259,892a1001353ffff,3
260,892a100135bffff,11
261,892a1001363ffff,17
262,892a100136bffff,133
263,892a100136fffff,88
264,892a1001377ffff,7
265,892a100137bffff,133
266,892a1001383ffff,85
267,892a1001387ffff,111
268,892a100138bffff,131
269,892a100138fffff,143
270,892a1001393ffff,116
271,892a1001397ffff,67
272,892a100139bffff,133
273,892a10013a3ffff,191
274,892a10013a7ffff,105
275,892a10013abffff,149
276,892a10013afffff,195
277,892a10013b3ffff,161
278,892a10013b7ffff,144
279,892a10013bbffff,108
280,892a10013c7ffff,20
281,892a10013cfffff,4
282,892a10013d3ffff,49
283,892a10013d7ffff,140
284,892a1001403ffff,179
285,892a1001407ffff,128
286,892a100140bffff,134
287,892a100140fffff,146
288,892a1001413ffff,222
289,892a1001417ffff,117
290,892a100141bffff,142
291,892a1001423ffff,17
292,892a1001427ffff,141
293,892a100142bffff,49
294,892a100142fffff,23
295,892a1001433ffff,50
296,892a1001437ffff,23
297,892a100143bffff,166
298,892a1001443ffff,182
299,892a1001447ffff,148
300,892a100144bffff,88
301,892a100144fffff,316
302,892a1001453ffff,180
303,892a1001457ffff,120
304,892a100145bffff,193
305,892a1001463ffff,136
306,892a1001467ffff,86
307,892a100146bffff,128
308,892a100146fffff,107
309,892a1001473ffff,113
310,892a1001477ffff,94
311,892a100147bffff,200
312,892a100148bffff,39
313,892a10014a3ffff,92
314,892a10014a7ffff,213
315,892a10014abffff,110
316,892a10014afffff,105
317,892a10014b7ffff,34
318,892a10014bbffff,7
319,892a10014c3ffff,198
320,892a10014c7ffff,191
321,892a10014cbffff,79
322,892a10014cfffff,160
323,892a10014d3ffff,104
324,892a10014d7ffff,107
325,892a10014dbffff,199
326,892a1001503ffff,17
327,892a1001507ffff,106
328,892a100150bffff,26
329,892a100150fffff,6
330,892a1001513ffff,110
331,892a100151bffff,43
332,892a1001523ffff,44
333,892a1001527ffff,74
334,892a100152bffff,47
335,892a1001533ffff,20
336,892a1001537ffff,28
337,892a100153bffff,203
338,892a1001543ffff,162
339,892a1001547ffff,57
340,892a100154bffff,79
341,892a100154fffff,141
342,892a1001553ffff,164
343,892a1001557ffff,72
344,892a100155bffff,136
345,892a1001563ffff,288
346,892a1001567ffff,149
347,892a100156bffff,144
348,892a100156fffff,188
349,892a1001573ffff,41
350,892a1001577ffff,113
351,892a100157bffff,69
352,892a100158bffff,118
353,892a100159bffff,7
354,892a10015afffff,1
355,892a10015c3ffff,263
356,892a10015c7ffff,98
357,892a10015cbffff,65
358,892a10015cfffff,89
359,892a10015d3ffff,190
360,892a10015d7ffff,163
361,892a10015dbffff,121
362,892a1001613ffff,58
363,892a100161bffff,54
364,892a1001627ffff,15
365,892a1001633ffff,3
366,892a1001637ffff,90
367,892a1001643ffff,2
368,892a1001647ffff,5
369,892a1001657ffff,60
370,892a1001667ffff,74
371,892a1001677ffff,51
372,892a1001683ffff,114
373,892a1001687ffff,205
374,892a100168bffff,130
375,892a100168fffff,77
376,892a1001693ffff,32
377,892a1001697ffff,74
378,892a100169bffff,151
379,892a10016a3ffff,207
380,892a10016a7ffff,162
381,892a10016abffff,1
382,892a10016afffff,162
383,892a10016b3ffff,154
384,892a10016b7ffff,135
385,892a10016c7ffff,56
386,892a10016d7ffff,6
387,892a1001803ffff,8
388,892a1001807ffff,38
389,892a100180bffff,27
390,892a100180fffff,7
391,892a1001813ffff,38
392,892a1001817ffff,45
393,892a100181bffff,57
394,892a1001837ffff,3
395,892a1001843ffff,23
396,892a1001847ffff,80
397,892a100184bffff,99
398,892a100184fffff,61
399,892a1001853ffff,82
400,892a1001857ffff,42
401,892a100185bffff,85
402,892a1001863ffff,44
403,892a1001867ffff,49
404,892a100186bffff,30
405,892a100186fffff,11
406,892a1001873ffff,113
407,892a1001877ffff,24
408,892a100187bffff,94
409,892a1001883ffff,2
410,892a1001887ffff,13
411,892a100188bffff,30
412,892a100188fffff,2
413,892a1001893ffff,73
414,892a1001897ffff,26
415,892a100189bffff,40
416,892a10018a7ffff,109
417,892a10018b3ffff,12
418,892a10018b7ffff,42
419,892a10018c3ffff,232
420,892a10018c7ffff,15
421,892a10018cbffff,86
422,892a10018cfffff,53
423,892a10018d3ffff,6
424,892a10018d7ffff,19
425,892a10018dbffff,43
426,892a1001907ffff,35
427,892a100190fffff,5
428,892a1001923ffff,71
429,892a1001927ffff,85
430,892a100192bffff,58
431,892a100192fffff,52
432,892a1001933ffff,91
433,892a1001937ffff,103
434,892a100193bffff,138
435,892a1001957ffff,4
436,892a1001967ffff,7
437,892a1001977ffff,18
438,892a10019a7ffff,27
439,892a10019abffff,23
440,892a10019afffff,88
441,892a10019d3ffff,43
442,892a1001a03ffff,39
443,892a1001a07ffff,54
444,892a1001a0bffff,11
445,892a1001a13ffff,112
446,892a1001a17ffff,123
447,892a1001a1bffff,121
448,892a1001a2bffff,15
449,892a1001a2fffff,37
450,892a1001a33ffff,46
451,892a1001a37ffff,20
452,892a1001a43ffff,41
453,892a1001a47ffff,26
454,892a1001a4bffff,97
455,892a1001a4fffff,80
456,892a1001a53ffff,85
457,892a1001a57ffff,54
458,892a1001a5bffff,69
459,892a1001a67ffff,1
460,892a1001a6bffff,184
461,892a1001a6fffff,160
462,892a1001a77ffff,11
463,892a1001a7bffff,47
464,892a1001a83ffff,122
465,892a1001a87ffff,208
466,892a1001a8bffff,66
467,892a1001a8fffff,47
468,892a1001a93ffff,200
469,892a1001a97ffff,216
470,892a1001a9bffff,70
471,892a1001aa3ffff,116
472,892a1001aa7ffff,97
473,892a1001aabffff,162
474,892a1001aafffff,92
475,892a1001ab3ffff,111
476,892a1001ab7ffff,54
477,892a1001abbffff,109
478,892a1001ac3ffff,122
479,892a1001ac7ffff,125
480,892a1001acbffff,164
481,892a1001acfffff,85
482,892a1001ad3ffff,164
483,892a1001ad7ffff,105
484,892a1001adbffff,232
485,892a1001b13ffff,1
486,892a1001b27ffff,204
487,892a1001b37ffff,58
488,892a1001b8bffff,19
489,892a1001b9bffff,8
490,892a1001bafffff,9
491,892a1001bc3ffff,145
492,892a1001bc7ffff,101
493,892a1001bcfffff,23
494,892a1001bd3ffff,120
495,892a1001bd7ffff,171
496,892a1001bdbffff,75
497,892a1001c03ffff,154
498,892a1001c07ffff,58
499,892a1001c0bffff,150
500,892a1001c0fffff,117
501,892a1001c13ffff,155
502,892a1001c17ffff,64
503,892a1001c1bffff,138
504,892a1001c23ffff,161
505,892a1001c27ffff,162
506,892a1001c2bffff,56
507,892a1001c2fffff,132
508,892a1001c33ffff,106
509,892a1001c37ffff,133
510,892a1001c3bffff,146
511,892a1001c43ffff,121
512,892a1001c47ffff,106
513,892a1001c4bffff,155
514,892a1001c4fffff,20
515,892a1001c53ffff,329
516,892a1001c57ffff,122
517,892a1001c5bffff,114
518,892a1001c63ffff,3
519,892a1001c67ffff,66
520,892a1001c6bffff,2
521,892a1001c6fffff,12
522,892a1001c73ffff,120
523,892a1001c77ffff,130
524,892a1001c7bffff,27
525,892a1001c83ffff,88
526,892a1001c87ffff,5
527,892a1001c8bffff,127
528,892a1001c8fffff,124
529,892a1001c93ffff,21
530,892a1001c97ffff,37
531,892a1001c9bffff,78
532,892a1001ca3ffff,12
533,892a1001cabffff,138
534,892a1001cafffff,154
535,892a1001cb3ffff,1
536,892a1001cbbffff,52
537,892a1001cc3ffff,140
538,892a1001cc7ffff,194
539,892a1001ccbffff,223
540,892a1001ccfffff,215
541,892a1001cd3ffff,36
542,892a1001cd7ffff,86
543,892a1001cdbffff,190
544,892a1001d03ffff,145
545,892a1001d07ffff,213
546,892a1001d0bffff,48
547,892a1001d0fffff,104
548,892a1001d13ffff,35
549,892a1001d17ffff,98
550,892a1001d1bffff,8
551,892a1001d23ffff,40
552,892a1001d27ffff,47
553,892a1001d2bffff,1
554,892a1001d33ffff,82
555,892a1001d37ffff,43
556,892a1001d3bffff,150
557,892a1001d43ffff,114
558,892a1001d47ffff,155
559,892a1001d4bffff,33
560,892a1001d4fffff,42
561,892a1001d53ffff,105
562,892a1001d57ffff,109
563,892a1001d5bffff,102
564,892a1001d63ffff,65
565,892a1001d67ffff,1
566,892a1001d6bffff,65
567,892a1001d6fffff,21
568,892a1001d73ffff,134
569,892a1001d77ffff,84
570,892a1001d7bffff,157
571,892a1001d8bffff,1
572,892a1001da7ffff,11
573,892a1001dabffff,7
574,892a1001dafffff,166
575,892a1001dc3ffff,58
576,892a1001dcbffff,151
577,892a1001dcfffff,80
578,892a1001ddbffff,30
579,892a1001e03ffff,65
580,892a1001e07ffff,232
581,892a1001e0bffff,101
582,892a1001e0fffff,46
583,892a1001e13ffff,105
584,892a1001e17ffff,208
585,892a1001e1bffff,83
586,892a1001e23ffff,117
587,892a1001e27ffff,201
588,892a1001e2bffff,112
589,892a1001e2fffff,120
590,892a1001e33ffff,224
591,892a1001e37ffff,215
592,892a1001e3bffff,120
593,892a1001e43ffff,128
594,892a1001e47ffff,141
595,892a1001e4bffff,204
596,892a1001e4fffff,146
597,892a1001e53ffff,67
598,892a1001e57ffff,191
599,892a1001e5bffff,136
600,892a1001e63ffff,233
601,892a1001e67ffff,153
602,892a1001e6bffff,142
603,892a1001e6fffff,87
604,892a1001e73ffff,212
605,892a1001e77ffff,237
606,892a1001e7bffff,127
607,892a1001e83ffff,201
608,892a1001e87ffff,135
609,892a1001e8bffff,160
610,892a1001e8fffff,138
611,892a1001e93ffff,102
612,892a1001e97ffff,57
613,892a1001e9bffff,144
614,892a1001ea3ffff,102
615,892a1001ea7ffff,52
616,892a1001eabffff,150
617,892a1001eafffff,63
618,892a1001eb3ffff,163
619,892a1001eb7ffff,58
620,892a1001ebbffff,136
621,892a1001ec3ffff,136
622,892a1001ec7ffff,123
623,892a1001ecbffff,187
624,892a1001ecfffff,7
625,892a1001ed3ffff,186
626,892a1001ed7ffff,135
627,892a1001edbffff,153
628,892a100326fffff,8
629,892a1003323ffff,6
630,892a100332bffff,11
631,892a1003337ffff,11
632,892a100333bffff,4
633,892a1003363ffff,38
634,892a1003367ffff,25
635,892a100336bffff,101
636,892a100336fffff,73
637,892a1003373ffff,1
638,892a1003377ffff,45
639,892a100420bffff,64
640,892a100421bffff,49
641,892a1004243ffff,63
642,892a1004247ffff,71
643,892a100424bffff,49
644,892a100424fffff,47
645,892a1004253ffff,49
646,892a1004257ffff,80
647,892a100425bffff,92
648,892a100426bffff,12
649,892a1004273ffff,55
650,892a100427bffff,39
651,892a10042c3ffff,71
652,892a10042c7ffff,29
653,892a10042cbffff,73
654,892a10042cfffff,35
655,892a10042d3ffff,60
656,892a10042d7ffff,47
657,892a10042dbffff,36
658,892a100464bffff,88
659,892a100464fffff,29
660,892a100466bffff,33
661,892a100466fffff,1
