,hex9,cnt
246,892a10014dbffff,706
247,892a1001503ffff,63
248,892a1001507ffff,55
249,892a100150bffff,30
250,892a100150fffff,47
251,892a1001513ffff,68
252,892a100151bffff,30
253,892a1001523ffff,1
254,892a1001527ffff,56
255,892a1001537ffff,8
256,892a100153bffff,27
257,892a1001543ffff,35
258,892a1001547ffff,120
259,892a100154bffff,90
260,892a100154fffff,47
261,892a1001553ffff,52
262,892a1001557ffff,59
263,892a100155bffff,83
264,892a1001563ffff,164
265,892a1001567ffff,4
266,892a100156bffff,112
267,892a100156fffff,12
268,892a1001573ffff,26
269,892a1001577ffff,8
270,892a100157bffff,47
271,892a10015c3ffff,15
272,892a10015c7ffff,11
273,892a10015cbffff,41
274,892a10015cfffff,53
275,892a10015dbffff,12
276,892a1001613ffff,18
277,892a100161bffff,23
278,892a1001627ffff,9
279,892a1001637ffff,346
280,892a1001667ffff,608
281,892a1001683ffff,16
282,892a1001687ffff,62
283,892a100168bffff,99
284,892a100168fffff,20
285,892a1001693ffff,52
286,892a1001697ffff,11
287,892a100169bffff,11
288,892a10016a3ffff,648
289,892a10016a7ffff,398
290,892a10016afffff,904
291,892a10016b3ffff,932
292,892a10016b7ffff,577
293,892a10016c7ffff,27
294,892a10016cfffff,1
295,892a1001807ffff,1
296,892a1001813ffff,2
297,892a1001843ffff,52
298,892a1001847ffff,33
299,892a100184bffff,44
300,892a100184fffff,232
301,892a1001853ffff,31
302,892a1001857ffff,23
303,892a100185bffff,189
304,892a1001863ffff,101
305,892a1001867ffff,3
306,892a100186bffff,11
307,892a100186fffff,27
308,892a1001873ffff,18
309,892a1001877ffff,13
310,892a100187bffff,20
311,892a1001893ffff,14
312,892a10018a7ffff,11
313,892a10018b7ffff,12
314,892a10018c3ffff,2
315,892a10018cbffff,45
316,892a10018cfffff,10
317,892a10018dbffff,13
318,892a1001923ffff,1
319,892a1001927ffff,2
320,892a100192bffff,3
321,892a10019d3ffff,36
322,892a1001a0bffff,101
323,892a1001a13ffff,36
324,892a1001a17ffff,132
325,892a1001a1bffff,175
326,892a1001a33ffff,104
327,892a1001a37ffff,2
328,892a1001a43ffff,145
329,892a1001a47ffff,33
330,892a1001a4bffff,25
331,892a1001a4fffff,45
332,892a1001a53ffff,1086
333,892a1001a57ffff,84
334,892a1001a5bffff,17
335,892a1001a6bffff,2
336,892a1001a83ffff,247
337,892a1001a87ffff,161
338,892a1001a8bffff,37
339,892a1001a8fffff,110
340,892a1001a93ffff,71
341,892a1001a9bffff,42
342,892a1001aa3ffff,70
343,892a1001aa7ffff,99
344,892a1001aabffff,142
345,892a1001aafffff,82
346,892a1001ab3ffff,5
347,892a1001ab7ffff,41
348,892a1001abbffff,148
349,892a1001ac3ffff,697
350,892a1001ac7ffff,61
351,892a1001acbffff,1366
352,892a1001acfffff,264
353,892a1001ad3ffff,215
354,892a1001ad7ffff,110
355,892a1001adbffff,1612
356,892a1001b13ffff,8
357,892a1001b27ffff,6
358,892a1001b2fffff,1
359,892a1001b37ffff,5
360,892a1001b8bffff,19
361,892a1001b9bffff,1
362,892a1001bafffff,4
363,892a1001bc3ffff,37
364,892a1001bc7ffff,26
365,892a1001bcfffff,1
366,892a1001bd3ffff,58
367,892a1001bd7ffff,129
368,892a1001bdbffff,59
369,892a1001c03ffff,14
370,892a1001c07ffff,5
371,892a1001c0bffff,9
372,892a1001c0fffff,23
373,892a1001c13ffff,9
374,892a1001c17ffff,4
375,892a1001c1bffff,24
376,892a1001c23ffff,13
377,892a1001c27ffff,12
378,892a1001c2bffff,15
379,892a1001c2fffff,21
380,892a1001c33ffff,11
381,892a1001c37ffff,12
382,892a1001c3bffff,23
383,892a1001c43ffff,38
384,892a1001c47ffff,61
385,892a1001c4bffff,14
386,892a1001c4fffff,108
387,892a1001c53ffff,89
388,892a1001c57ffff,48
389,892a1001c67ffff,14
390,892a1001c73ffff,9
391,892a1001c77ffff,13
392,892a1001c7bffff,30
393,892a1001c83ffff,10
394,892a1001c8bffff,5
395,892a1001c8fffff,9
396,892a1001c93ffff,1
397,892a1001c97ffff,10
398,892a1001c9bffff,8
399,892a1001ca3ffff,11
400,892a1001cabffff,40
401,892a1001cafffff,3
402,892a1001cbbffff,4
403,892a1001cc3ffff,509
404,892a1001cc7ffff,20
405,892a1001ccbffff,58
406,892a1001ccfffff,51
407,892a1001cd7ffff,1
408,892a1001cdbffff,153
409,892a1001d03ffff,8
410,892a1001d07ffff,6
411,892a1001d0bffff,16
412,892a1001d0fffff,14
413,892a1001d17ffff,45
414,892a1001d23ffff,1
415,892a1001d27ffff,1
416,892a1001d33ffff,6
417,892a1001d3bffff,1
418,892a1001d43ffff,33
419,892a1001d47ffff,19
420,892a1001d4fffff,26
421,892a1001d53ffff,38
422,892a1001d57ffff,49
423,892a1001d5bffff,23
424,892a1001d63ffff,15
425,892a1001d6bffff,62
426,892a1001d73ffff,18
427,892a1001d77ffff,3
428,892a1001d7bffff,105
429,892a1001dabffff,6
430,892a1001dafffff,4
431,892a1001dcbffff,3
432,892a1001dcfffff,7
433,892a1001ddbffff,53
434,892a1001e03ffff,119
435,892a1001e07ffff,275
436,892a1001e0bffff,174
437,892a1001e0fffff,136
438,892a1001e13ffff,110
439,892a1001e17ffff,113
440,892a1001e1bffff,259
441,892a1001e23ffff,201
442,892a1001e27ffff,209
443,892a1001e2bffff,606
444,892a1001e2fffff,156
445,892a1001e33ffff,161
446,892a1001e37ffff,205
447,892a1001e3bffff,537
448,892a1001e43ffff,499
449,892a1001e47ffff,1190
450,892a1001e4bffff,273
451,892a1001e4fffff,662
452,892a1001e53ffff,299
453,892a1001e57ffff,226
454,892a1001e5bffff,311
455,892a1001e63ffff,218
456,892a1001e67ffff,305
457,892a1001e6bffff,653
458,892a1001e6fffff,519
459,892a1001e73ffff,189
460,892a1001e77ffff,113
461,892a1001e7bffff,346
462,892a1001e83ffff,132
463,892a1001e87ffff,277
464,892a1001e8bffff,308
465,892a1001e8fffff,89
466,892a1001e93ffff,206
467,892a1001e97ffff,56
468,892a1001e9bffff,13
469,892a1001ea3ffff,70
470,892a1001eabffff,76
471,892a1001eafffff,131
472,892a1001eb3ffff,11
473,892a1001eb7ffff,6
474,892a1001ebbffff,275
475,892a1001ec3ffff,75
476,892a1001ec7ffff,65
477,892a1001ecbffff,178
478,892a1001ecfffff,52
479,892a1001ed3ffff,98
480,892a1001ed7ffff,51
481,892a1001edbffff,82
482,892a1003367ffff,17
483,892a1003377ffff,2
484,892a100420bffff,4
485,892a100421bffff,1
486,892a1004243ffff,1
487,892a1004247ffff,58
488,892a1004253ffff,10
489,892a1004257ffff,13
490,892a100425bffff,8
491,892a1004273ffff,1
492,892a10042c3ffff,1
493,892a10042cbffff,13
494,892a10042d3ffff,2
495,892a10042d7ffff,4
496,892a10042dbffff,4
497,892a100466bffff,5
498,892a100500bffff,19
499,892a100500fffff,14
500,892a100501bffff,4
501,892a1005023ffff,1
502,892a1005027ffff,14
503,892a100502bffff,3
504,892a100502fffff,5
505,892a1005043ffff,1
506,892a1005047ffff,10
507,892a100504bffff,1
508,892a100504fffff,7
509,892a1005053ffff,2
510,892a1005057ffff,28
511,892a1005063ffff,5
512,892a1005067ffff,7
513,892a100506bffff,1
514,892a100506fffff,16
515,892a1005073ffff,8
516,892a1005077ffff,7
517,892a100507bffff,1
518,892a1005087ffff,22
519,892a10050b3ffff,6
520,892a10050bbffff,4
521,892a10050c3ffff,5
522,892a10050c7ffff,8
523,892a10050cfffff,1
524,892a1005103ffff,25
525,892a1005107ffff,25
526,892a100510bffff,54
527,892a100510fffff,12
528,892a1005117ffff,5
529,892a100511bffff,3
530,892a1005123ffff,8
531,892a100512bffff,3
532,892a100512fffff,38
533,892a1005133ffff,22
534,892a100513bffff,8
535,892a1005143ffff,9
536,892a1005147ffff,6
537,892a100514fffff,27
538,892a1005157ffff,15
539,892a100515bffff,40
540,892a1005163ffff,13
541,892a1005167ffff,61
542,892a100516bffff,11
543,892a100516fffff,6
544,892a1005173ffff,24
545,892a1005177ffff,17
546,892a100517bffff,12
547,892a1005183ffff,1
548,892a100518fffff,3
549,892a1005197ffff,2
550,892a10051a3ffff,8
551,892a10051a7ffff,3
552,892a10051abffff,8
553,892a10051afffff,10
554,892a10051b3ffff,4
555,892a10051b7ffff,12
556,892a10051c3ffff,3
